image,recording,window,t_start_s,display_order,label_Ch A,label_Ch B,label_Ch C,label_Ch D,label_Ch E,label_Ch F,label_Ch G,label_Ch H,label_Ch I,label_Ch J,seen,rater,seconds_spent,ts
32-0_w002674.png,32__0,2674,13370.0,246,unsure,unsure,clean,bad,clean,clean,clean,clean,,,1,JL,151,2026-07-30T19:53:32.762Z
32-0_w003110.png,32__0,3110,15550.0,103,unsure,clean,clean,bad,clean,clean,clean,clean,,,1,JL,20,2026-07-30T19:53:32.762Z
32-0_w003199.png,32__0,3199,15995.0,314,clean,clean,clean,clean,clean,unsure,bad,clean,,,1,JL,40,2026-07-30T19:53:32.762Z
32-0_w005152.png,32__0,5152,25760.0,162,clean,clean,clean,unsure,bad,clean,clean,clean,,,1,JL,33,2026-07-30T19:53:32.762Z
32-0_w005452.png,32__0,5452,27260.0,425,clean,clean,clean,clean,bad,clean,clean,clean,,,1,JL,8,2026-07-30T19:53:32.762Z
32-0_w005701.png,32__0,5701,28505.0,350,clean,bad,clean,clean,clean,clean,unsure,clean,,,1,JL,13,2026-07-30T19:53:32.762Z
32-0_w005982.png,32__0,5982,29910.0,291,clean,unsure,bad,clean,clean,clean,clean,clean,,,1,JL,29,2026-07-30T19:53:32.762Z
32-0_w007760.png,32__0,7760,38800.0,255,clean,clean,bad,clean,clean,clean,clean,clean,,,1,JL,24,2026-07-30T19:53:32.762Z
32-0_w013698.png,32__0,13698,68490.0,50,clean,unsure,clean,clean,clean,bad,clean,clean,,,1,JL,26,2026-07-30T19:53:32.762Z
32-1_w001327.png,32__1,1327,6635.0,282,unsure,unsure,bad,unsure,unsure,unsure,unsure,unsure,,,1,JL,19,2026-07-30T19:53:32.762Z
32-1_w003065.png,32__1,3065,15325.0,214,clean,bad,clean,unsure,clean,clean,clean,clean,,,1,JL,53,2026-07-30T19:53:32.762Z
32-1_w003513.png,32__1,3513,17565.0,391,unsure,unsure,unsure,bad,unsure,unsure,unsure,unsure,,,1,JL,14,2026-07-30T19:53:32.762Z
32-1_w006516.png,32__1,6516,32580.0,340,unsure,unsure,unsure,unsure,unsure,unsure,unsure,bad,,,1,JL,121,2026-07-30T19:53:32.762Z
